Sample Id,,,Ash,Ca,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,GluFruc,Info,ResultType,BottleType,Remark
QC-001,,,0.9905,22.31,14.11,2.95,0.25,5.11,3.54,3.26,-0.36,0.2,Mean,Normal,Normal,
Sample Id,,,Ash,Ca,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,GluFruc,Info,ResultType,BottleType,Remark
QC-001,,,0.9936,31.49,14.38,2.7,0.49,4.98,3.74,0.13,0.52,0.9,Mean,Normal,Normal,
Sample Id,,,Sg,Extract,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,GluFruc,Info,ResultType,BottleType,Remark
QC-001,,,0.9922,21.9,12.55,1.91,0.24,5.38,3.58,4.45,-0.46,-0.1,Mean,Normal,Normal,
Sample Id,,,Sg,Extract,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,GluFruc,Info,ResultType,BottleType,Remark
QC-002,,,0.9921,21.84,12.54,1.78,0.23,5.37,3.59,4.46,-0.47,-0.1,Mean,Normal,Normal,
Sample Id,,,Sg,Extract,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,GluFruc,Info,ResultType,BottleType,Remark
QC-002,,,0.9938,28.97,13.56,1.75,0.53,5.33,3.62,0.69,0.49,0.8,Mean,Normal,Normal,
Sample Id,,,Sg,Extract,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,GluFruc,Info,ResultType,BottleType,Remark
QC-002,,,0.9949,31.3,13.33,1.95,0.48,5.13,3.73,0.11,0.85,1,Mean,Normal,Normal,
Sample Id,,,Sg,Extract,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,GluFruc,Info,ResultType,BottleType,Remark
QC-002,,,0.992,22.45,12.86,1.92,0.39,5.76,3.64,4.13,-0.46,0.3,Mean,Normal,Normal,
