11/03/2014 14:48:53
PANalytical
Quantification of sample BR-0003-R01,

R.M.S.:,"0,001"
Result status:,
Sum before normalization:,"21,1 %"
Normalised to:,"100,0 %"
Sample type:,Solid
Correction applied for medium:,No
Correction applied for film:,No
Results database:,omnian 2013
Results database in:,c:\panalytical\superq\userdata

,Element,Conc.
,,(%)
1,Al,"0,20"
2,Ca,"94,79"
3,Fe,"1,44"
4,I,"0,26"
5,K,"0,14"
6,Mg,"1,19"
7,Mn,"0,16"
8,Ni,"0,08"
9,S,"0,08"
10,Si,"1,41"
11,Sr,"0,21"
12,Ti,"0,05"

