,,,,Al2O3,,As,,Ba,,CaO,,Cl,,Co,,Cr2O3,,Cu,,F,,Fe2O3,,Ga,,K2O,,MgO,,MnO,,Na2O,,Nb,,Nd,,Ni,,P2O5,,Pb,,Rb,,S,,Sb,,SiO2,,Sn,,Sr,,Ta,,TiO2,,Th,,U,,V,,Y,,Zn,,Zr,,Bi
,,,,mass%,,ppm,,ppm,,mass%,,ppm,,ppm,,mass%,,ppm,,ppm,,mass%,,ppm,,mass%,,mass%,,mass%,,mass%,,ppm,,ppm,,ppm,,mass%,,ppm,,ppm,,mass%,,mass%,,mass%,,ppm,,ppm,,ppm,,mass%,,ppm,,ppm,,ppm,,ppm,,ppm,,ppm,,ppm
BOG652          ,PIGMT,90.916,2015/03/31 14:33,19.847,,53,,1124,,0.259,,60,,112,,0.038,,43,,850,,3.37,,31,,3.609,,0.822,,0.013,,0.699,,-239,,0,,74,,0.029,,73,,132,,-0.139,,0.164,,61.094,,351,,292,,-102,,1.136,,44,,8,,224,,68,,31,,312,,352
BOG651          ,PIGMT,86.135,2015/03/31 14:59,12.474,,92,,810,,0.064,,60,,29,,0.012,,32,,550,,0.884,,19,,4.24,,0.059,,0.002,,0.307,,-129,,-26,,40,,0.021,,84,,171,,-0.139,,0.196,,67.749,,460,,139,,-49,,0.323,,48,,68,,45,,88,,29,,195,,491
BOG653          ,PIGMT,76.628,2015/03/31 15:22,22.134,,45,,1131,,0.238,,70,,30,,0.016,,39,,718,,3.112,,30,,4.483,,0.471,,0.016,,0.226,,-225,,10,,74,,0.034,,103,,152,,-0.125,,0.186,,44.577,,476,,149,,-36,,1.321,,45,,37,,182,,87,,119,,305,,405
AMIS0299        ,PIGMT,81.605,2015/03/31 15:44,2.827,,207,,68,,0.112,,96,,46,,0.168,,236,,13347,,3.186,,21,,0.439,,-0.039,,0.021,,0.018,,-82,,9,,81,,0.025,,224,,64,,0.742,,0.193,,74.689,,-982,,40,,-5,,0.159,,45,,58,,25,,45,,54,,286,,452
Number,,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4
Average,,,,14.321,,99,,783,,0.168,,71,,54,,0.058,,87,,3866,,2.638,,25,,3.193,,0.328,,0.013,,0.312,,-169,,-2,,67,,0.028,,121,,130,,0.085,,0.185,,62.027,,76,,155,,-48,,0.735,,46,,43,,119,,72,,58,,275,,425
Maximum,,,,22.134,,207,,1131,,0.259,,96,,112,,0.168,,236,,13347,,3.37,,31,,4.483,,0.822,,0.021,,0.699,,-82,,10,,81,,0.034,,224,,171,,0.742,,0.196,,74.689,,476,,292,,-5,,1.321,,48,,68,,224,,88,,119,,312,,491
Minimum,,,,2.827,,45,,68,,0.064,,60,,29,,0.012,,32,,550,,0.884,,19,,0.439,,-0.039,,0.002,,0.018,,-239,,-26,,40,,0.021,,73,,64,,-0.139,,0.164,,44.577,,-982,,40,,-102,,0.159,,44,,8,,25,,45,,29,,195,,352
Range,,,,19.307,,163,,1064,,0.194,,36,,83,,0.156,,204,,12796,,2.486,,12,,4.044,,0.86,,0.018,,0.681,,157,,37,,41,,0.013,,150,,106,,0.881,,0.032,,30.112,,1458,,252,,97,,1.162,,3,,60,,199,,43,,90,,117,,139
Std dev.,,,,8.7006,,74.9,,500.1,,0.0948,,17,,39.5,,0.074,,99,,6321.4,,1.1742,,6.2,,1.8724,,0.3962,,0.0079,,0.2849,,75.8,,17.2,,18.3,,0.0056,,69.5,,46.4,,0.4383,,0.0142,,12.8897,,707.6,,103.8,,40.4,,0.579,,1.5,,26.5,,98.8,,20,,42.2,,54.3,,60
RSD(%),,,,60.76,,75.36,,63.84,,56.41,,23.83,,72.9,,126.62,,113.4,,163.5,,44.51,,24.25,,58.64,,120.65,,61.04,,91.24,,-44.89,,-1009.21,,27.19,,20.31,,57.39,,35.72,,517.43,,7.72,,20.78,,928.12,,66.94,,-84.43,,78.78,,3.34,,61.93,,83.24,,27.81,,72.34,,19.79,,14.11
