																																												
Date	2012/11/15	User	anonymous																																									
Time	06:07:08PM	Software version: 4.0																																										
																																												
Example laboratory																																												
Arizona																																												
																																												
																																												
																																												
Sample/ctrl ID	Pat/Ctr/cAl	Test name	Test type	Result	Result unit	Result time	STAT	Status	Errors	Notes	Dilution 1 +	Manual dilution 1 +	Response	Blank response / Cal. voltage	Side abs. (A)	AE check value ()	Nbr. of points used	Main abs. 1	Main abs. 2 / Factor	Main abs. 3 / Bias	Main abs. 4	Main abs. 5	Main abs. 6	Main abs. 7	Main abs. 8	Main abs. 9	Main abs. 10	Main abs. 11	Main abs. 12	Blank side abs.	Blank abs. 1	Blank abs. 2	Blank abs. 3	Blank abs. 4	Blank abs. 5	Blank abs. 6	Blank abs. 7	Blank abs. 8	Blank abs. 9	Blank abs. 10	Blank abs. 11	Blank abs. 12	Rate (A/min)	Calibrator conc.
																																												
pienk QC	P	D Lac BBK	P	141,4722	mg/l	2012/11/15 12:41:08 PM		MA			0	0	0,41497	0,20853				0,6235													0,20853													
rooi QC	P	D Lac BBK	P	327,847	mg/l	2012/11/15 12:42:01 PM		AR	19,30,	R	0	0	0,83108	1,13068				1,96177													1,13068													
pienk QC	P	L-Malic	P	2,2527	g/l	2012/11/15 12:42:19 PM		MA			9	0	0,34073	0,14816				0,4889													0,14816													
wit QC	P	D Lac BBK	P	94,72762	mg/l	2012/11/15 12:42:56 PM		MA			0	0	0,32024	0,15352				0,47376													0,15352													
rooi QC	P	L-Malic	P	0,20189	g/l	2012/11/15 12:43:13 PM		AR	18,	R	9	0	0,02066	0,24339				0,26405													0,24339													
jerepigo QC	P	D Lac BBK	P	15,27747	mg/l	2012/11/15 12:43:59 PM		MA	20,		0	0	0,17177	0,46605				0,63782													0,46605													
wit QC	P	L-Malic	P	2,29048	g/l	2012/11/15 12:44:07 PM		MA			9	0	0,34663	0,14491				0,49154													0,14491													
jerepigo QC	P	L-Malic	P	2,37515	g/l	2012/11/15 12:45:10 PM		MA			9	0	0,35984	0,17548				0,53532													0,17548													
watertoets	P	D Lac BBK	P	-1,86901	mg/l	2012/11/15 12:45:38 PM		MA	20,30,		0	0	0,14179	0,01972				0,16152													0,01972													
watertoets	P	L-Malic	P	0,09245	g/l	2012/11/15 12:46:23 PM		AR	18,	R	9	0	0,00358	0,12228				0,12586													0,12228													
rooi QC	P	L-Malic	P	0,08538	g/l	2012/11/15 12:54:28 PM		MA		R	0	0	0,1224	1,42027				1,54268													1,42027													
watertoets	P	L-Malic	P	0,00591	g/l	2012/11/15 12:57:29 PM		MA	20,	R	0	0	-0,00162	0,12235				0,12073													0,12235													
rooi QC	P	D Lac BBK	P	400,4033	mg/l	2012/11/15 01:01:05 PM		MA		R	7	0	0,23481	0,13875				0,37356													0,13875													
