"Solution Label","Batch Label","Customer Id","Customer Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int","Internal Std","Date","Time","SD","RSD","IntSD","IntRSD","Act Wgt","Act Vol","DF","NumReps","Replicates",,,
"Blank","","","","Blk","Mn 257.610","",0,"mg/L",0,"mg/L",41.504,"-","08/02/2016","14:11:28",0.0,0.0,"2.94942","7.10635",1,1,1,2,43.5896,"",39.4185,""
"Blank","","","","Blk","Fe 259.940","",0,"mg/L",0,"mg/L",59.2505,"-","08/02/2016","14:11:28",0.0,0.0,"0.21174","0.357365",1,1,1,2,59.4002,"",59.1008,""
"Blank","","","","Blk","Al 396.152","",0,"mg/L",0,"mg/L",68.8987,"-","08/02/2016","14:11:28",0.0,0.0,"6.0811","8.82615",1,1,1,2,64.5987,"",73.1987,""
"Standard 1","","","","Std","Mn 257.610","",0.5,"mg/L",0.5,"mg/L",41930.6,"-","08/02/2016","14:13:03",0.0,0.0,"23.329","0.0556371",1,1,1,2,41914.1,"",41947.1,""
"Standard 1","","","","Std","Fe 259.940","",0.5,"mg/L",0.5,"mg/L",2998.95,"-","08/02/2016","14:13:03",0.0,0.0,"0.826051","0.0275447",1,1,1,2,2999.53,"",2998.37,""
"Standard 1","","","","Std","Al 396.152","",0.5,"mg/L",0.5,"mg/L",10424.7,"-","08/02/2016","14:13:03",0.0,0.0,"2.57362","0.0246877",1,1,1,2,10426.5,"",10422.9,""
"Standard 2","","","","Std","Mn 257.610","",1,"mg/L",1,"mg/L",82365.9,"-","08/02/2016","14:14:38",0.0,0.0,"567.155","0.68858",1,1,1,2,82766.9,"",81964.8,""
"Standard 2","","","","Std","Fe 259.940","",1,"mg/L",1,"mg/L",6002.04,"-","08/02/2016","14:14:38",0.0,0.0,"18.3582","0.305866",1,1,1,2,5989.06,"",6015.02,""
"Standard 2","","","","Std","Al 396.152","",1,"mg/L",1,"mg/L",19515.6,"-","08/02/2016","14:14:38",0.0,0.0,"19.5103","0.0999733",1,1,1,2,19501.8,"",19529.3,""
"Standard 3","","","","Std","Mn 257.610","",1.5,"mg/L",1.5,"mg/L",120643,"-","08/02/2016","14:16:12",0.0,0.0,"84.9522","0.070416",1,1,1,2,120583,"",120703,""
"Standard 3","","","","Std","Fe 259.940","",1.5,"mg/L",1.5,"mg/L",8796.08,"-","08/02/2016","14:16:12",0.0,0.0,"32.7071","0.371838",1,1,1,2,8819.21,"",8772.95,""
"Standard 3","","","","Std","Al 396.152","",5,"mg/L",5,"mg/L",92131.1,"-","08/02/2016","14:16:12",0.0,0.0,"112.419","0.122021",1,1,1,2,92051.6,"",92210.6,""
"Standard 4","","","","Std","Mn 257.610","",3,"mg/L",3,"mg/L",232993,"-","08/02/2016","14:17:47",0.0,0.0,"1053.03","0.451956",1,1,1,2,232248,"",233738,""
"Standard 4","","","","Std","Fe 259.940","",3,"mg/L",3,"mg/L",17449,"-","08/02/2016","14:17:47",0.0,0.0,"30.7564","0.176264",1,1,1,2,17470.8,"",17427.3,""
"Lab Control Sample","","","","LCS","Mn 257.610","",1.00648,"mg/L",1.00648,"mg/L",82440.7,"-","08/02/2016","14:19:21",0.00795539,0.790417,"634.225","0.76931",1,1,1,2,82889.2,"",81992.3,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.02006,"mg/L",1.02006,"mg/L",6055.7,"-","08/02/2016","14:19:21",0.00605574,0.593666,"35.3374","0.583539",1,1,1,2,6080.69,"",6030.71,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.990908,"mg/L",0.990908,"mg/L",19582,"-","08/02/2016","14:19:21",0.00405916,0.409641,"78.6491","0.401639",1,1,1,2,19526.4,"",19637.6,""
"BLANK","","","","Samp","Mn 257.610","",0.00132541,"mg/L",0.00132541,"mg/L",152.854,"-","08/02/2016","14:20:56",1.21144E-5,0.91401,"1.01772","0.665809",1,1,1,2,152.135,"",153.574,""
"BLANK","","","","Samp","Fe 259.940","",0.0236011,"mg/L",0.0236011,"mg/L",198.987,"-","08/02/2016","14:20:56",0.000887216,3.75921,"5.25212","2.63942",1,1,1,2,202.701,"",195.273,""
"BLANK","","","","Samp","Al 396.152","",0.00753772,"mg/L",0.00753772,"mg/L",219.701,"-","08/02/2016","14:20:56",6.99045E-7,0.00927396,"0.0139833","0.00636471",1,1,1,2,219.691,"",219.711,""
"A00035524001*Bank2  ","","","","Samp","Mn 257.610","",0.00833809,"mg/L",0.00833809,"mg/L",741.877,"-","08/02/2016","14:22:31",6.76984E-5,0.811917,"5.68525","0.766334",1,1,1,2,737.857,"",745.897,""
"A00035524001*Bank2  ","","","","Samp","Fe 259.940","",0.0259328,"mg/L",0.0259328,"mg/L",212.79,"-","08/02/2016","14:22:31",0.00010342,0.398801,"0.612202","0.287702",1,1,1,2,213.223,"",212.357,""
"A00035524001*Bank2  ","","","","Samp","Al 396.152","",0.0903348,"mg/L",0.0903348,"mg/L",1873.78,"-","08/02/2016","14:22:31",0.000984819,1.09019,"19.6481","1.04858",1,1,1,2,1859.88,"",1887.67,""
"A00035524001*Bank2  ","","","","Samp","Mn 257.610","",0.00798709,"mg/L",0.00798709,"mg/L",712.4,"-","08/02/2016","14:24:07",5.84886E-5,0.732289,"4.9119","0.689486",1,1,1,2,708.927,"",715.874,""
"A00035524001*Bank2  ","","","","Samp","Fe 259.940","",0.0218321,"mg/L",0.0218321,"mg/L",188.515,"-","08/02/2016","14:24:07",0.000460416,2.1089,"2.72562","1.44584",1,1,1,2,190.442,"",186.588,""
"A00035524001*Bank2  ","","","","Samp","Al 396.152","",0.103081,"mg/L",0.103081,"mg/L",2128.02,"-","08/02/2016","14:24:07",0.000319389,0.309844,"6.36949","0.299316",1,1,1,2,2123.51,"",2132.52,""
"A00035524002*Bank5  ","","","","Samp","Mn 257.610","",0.00438498,"mg/L",0.00438498,"mg/L",409.866,"-","08/02/2016","14:25:42",2.32473E-5,0.530157,"1.95268","0.476419",1,1,1,2,411.246,"",408.485,""
"A00035524002*Bank5  ","","","","Samp","Fe 259.940","",0.0621847,"mg/L",0.0621847,"mg/L",427.33,"-","08/02/2016","14:25:42",0.000522213,0.839777,"3.08966","0.723016",1,1,1,2,425.145,"",429.515,""
"A00035524002*Bank5  ","","","","Samp","Al 396.152","",0.0585583,"mg/L",0.0585583,"mg/L",1239.48,"-","08/02/2016","14:25:42",0.00255287,4.35954,"50.9843","4.11336",1,1,1,2,1275.53,"",1203.43,""
"A00035540001*POT 03 ","","","","Samp","Mn 257.610","",0.00618113,"mg/L",0.00618113,"mg/L",560.728,"-","08/02/2016","14:27:18",3.92822E-5,0.635517,"3.29924","0.588386",1,1,1,2,563.061,"",558.395,""
"A00035540001*POT 03 ","","","","Samp","Fe 259.940","",0.0408789,"mg/L",0.0408789,"mg/L",301.255,"-","08/02/2016","14:27:18",0.00150741,3.6875,"8.92131","2.96138",1,1,1,2,307.563,"",294.947,""
"A00035540001*POT 03 ","","","","Samp","Al 396.152","",0.019249,"mg/L",0.019249,"mg/L",453.929,"-","08/02/2016","14:27:18",0.000832051,4.32256,"16.6381","3.66534",1,1,1,2,465.694,"",442.164,""
"A00035540002*POT 04 ","","","","Samp","Mn 257.610","",0.0088036,"mg/L",0.0088036,"mg/L",780.97,"-","08/02/2016","14:28:54",2.24906E-5,0.255471,"1.8887","0.24184",1,1,1,2,782.305,"",779.634,""
"A00035540002*POT 04 ","","","","Samp","Fe 259.940","",0.0546001,"mg/L",0.0546001,"mg/L",382.453,"-","08/02/2016","14:28:54",0.000775423,1.42019,"4.58827","1.1997",1,1,1,2,379.209,"",385.697,""
"A00035540002*POT 04 ","","","","Samp","Al 396.152","",0.0164676,"mg/L",0.0164676,"mg/L",398.308,"-","08/02/2016","14:28:54",0.000306132,1.859,"6.1221","1.53703",1,1,1,2,402.637,"",393.979,""
"A00035540003*POT 05 ","","","","Samp","Mn 257.610","",0.00715989,"mg/L",0.00715989,"mg/L",642.93,"-","08/02/2016","14:30:29",2.37435E-5,0.331618,"1.99409","0.310157",1,1,1,2,644.34,"",641.52,""
"A00035540003*POT 05 ","","","","Samp","Fe 259.940","",0.0367898,"mg/L",0.0367898,"mg/L",277.054,"-","08/02/2016","14:30:29",0.0017168,4.66652,"10.1612","3.66758",1,1,1,2,284.239,"",269.869,""
"A00035540003*POT 05 ","","","","Samp","Al 396.152","",0.00954124,"mg/L",0.00954124,"mg/L",259.778,"-","08/02/2016","14:30:29",4.37695E-5,0.45874,"0.875511","0.337023",1,1,1,2,260.397,"",259.159,""
"A00035540004*POT06  ","","","","Samp","Mn 257.610","",0.0164716,"mg/L",0.0164716,"mg/L",1424.78,"-","08/02/2016","14:32:05",0.000319555,1.94003,"26.8247","1.88272",1,1,1,2,1405.82,"",1443.75,""
"A00035540004*POT06  ","","","","Samp","Fe 259.940","",0.73833,"mg/L",0.73833,"mg/L",4408.36,"-","08/02/2016","14:32:05",0.0146705,1.98699,"85.9573","1.94987",1,1,1,2,4347.58,"",4469.14,""
"A00035540004*POT06  ","","","","Samp","Al 396.152","",0.0220277,"mg/L",0.0220277,"mg/L",509.49,"-","08/02/2016","14:32:05",0.000252212,1.14498,"5.04288","0.989791",1,1,1,2,505.924,"",513.056,""
"A00035540005*POT02  ","","","","Samp","Mn 257.610","",0.00578451,"mg/L",0.00578451,"mg/L",527.416,"-","08/02/2016","14:33:40",0.000176438,3.05018,"14.819","2.80974",1,1,1,2,537.895,"",516.937,""
"A00035540005*POT02  ","","","","Samp","Fe 259.940","",0.084585,"mg/L",0.084585,"mg/L",559.84,"-","08/02/2016","14:33:40",0.00106329,1.25706,"6.28891","1.12334",1,1,1,2,564.287,"",555.393,""
