[Workflow],,,,,,,,,,
Id:,bika_worksheet_workflow,,,,,,,,,
Title:,Bika Worksheet Workflow,,,,,,,,,
Description:,,,,,,,,,,
Initial state:,open,,,,,,,,,
Type:,Workflow,,,,,,,,,
State variable:,review_state,,,,,,,,,
,,,,,,,,,,
[State],,,,,,,,,,
Id:,open,,,,,,,,,
Title:,Open,,,,,,,,,
Description:,,,,,,,,,,
Transitions,submit,,,,,,,,,
Permissions,Acquire,Anonymous,Manager,Owner,Reader,Editor,Contributor,Analyst,LabClerk,LabManager
BIKA: Edit Worksheet,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Assign analyses,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Unassign analyses,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: View Results,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Add Attachment,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Retract,N,N,N,N,N,N,N,Y,Y,Y
Modify portal content,N,N,Y,N,N,N,N,Y,Y,Y
,,,,,,,,,,
[State],,,,,,,,,,
Id:,attachment_due,,,,,,,,,
Title:,Attachment Outstanding,,,,,,,,,
Description:,,,,,,,,,,
Transitions,"attach, retract, reject",,,,,,,,,
Permissions,Acquire,Anonymous,Manager,Owner,Reader,Editor,Contributor,Analyst,LabClerk,LabManager
BIKA: Edit Worksheet,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Assign analyses,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Unassign analyses,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: View Results,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Add Attachment,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Retract,N,N,N,N,N,N,N,Y,Y,Y
Modify portal content,N,N,Y,N,N,N,N,Y,Y,Y
,,,,,,,,,,
[State],,,,,,,,,,
Id:,to_be_verified,,,,,,,,,
Title:,To be verified,,,,,,,,,
Description:,,,,,,,,,,
Transitions,"verify, retract, reject",,,,,,,,,
Permissions,Acquire,Anonymous,Manager,Owner,Reader,Editor,Contributor,Analyst,LabClerk,LabManager
BIKA: Edit Worksheet,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Assign analyses,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Unassign analyses,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: View Results,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Add Attachment,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Retract,N,N,Y,N,N,N,N,Y,Y,Y
Modify portal content,N,N,Y,N,N,N,N,Y,Y,Y
,,,,,,,,,,
[State],,,,,,,,,,
Id:,verified,,,,,,,,,
Title:,Verified,,,,,,,,,
Description:,,,,,,,,,,
Transitions,,,,,,,,,,
Permissions,Acquire,Anonymous,Manager,Owner,Reader,Editor,Contributor,Analyst,LabClerk,LabManager
BIKA: Edit Worksheet,N,N,Y,N,N,N,N,N,N,Y
BIKA: Assign analyses,N,N,N,N,N,N,N,N,N,N
BIKA: Unassign analyses,N,N,N,N,N,N,N,N,N,N
BIKA: View Results,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Add Attachment,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Retract,N,N,N,N,N,N,N,N,N,N
Modify portal content,N,N,Y,N,N,N,N,Y,Y,Y
,,,,,,,,,,
[State],,,,,,,,,,
Id:,rejected,,,,,,,,,
Title:,Rejected,,,,,,,,,
Description:,,,,,,,,,,
Transitions,,,,,,,,,,
Permissions,Acquire,Anonymous,Manager,Owner,Reader,Editor,Contributor,Analyst,LabClerk,LabManager
BIKA: Edit Worksheet,N,N,N,N,N,N,N,N,N,N
BIKA: Assign analyses,N,N,N,N,N,N,N,N,N,N
BIKA: Unassign analyses,N,N,N,N,N,N,N,N,N,N
BIKA: View Results,N,N,Y,N,N,N,N,Y,Y,Y
BIKA: Add Attachment,N,N,Y,N,N,N,N,N,N,N
BIKA: Retract,N,N,N,N,N,N,N,N,N,N
Modify portal content,N,N,Y,N,N,N,N,N,N,N
,,,,,,,,,,
[Transition],,,,,,,,,,
Id:,submit,,,,,,,,,
