[Workflow],,,,,,,,,,,,,,,
Id:,sampleprep_dnaextraction_workflow,,,,,,,,,,,,,,
Title:,Sample Preparation: DNA Extraction,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,
Initial state:,to_be_extracted,,,,,,,,,,,,,,
Type:,Workflow,,,,,,,,,,,,,,
State variable:,sampleprep_review_state,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
[State],,,,,,,,,,,,,,,
Id:,to_be_extracted,,,,,,,,,,,,,,
Title:,To Be Extracted,,,,,,,,,,,,,,
Description:,The DNA must be extracted,,,,,,,,,,,,,,
Transitions,"extracted",,,,,,,,,,,,,,
Permissions,Acquire,Owner,Manager,LabManager,LabClerk,Analyst,Sampler,Preserver,Verifier,RegulatoryInspector,Publisher,Reader,Editor,Contributor,Anonymous
,,,,,,,,,,,,,,,
[State],,,,,,,,,,,,,,,
Id:,to_be_purified,,,,,,,,,,,,,,
Title:,To Be Purified,,,,,,,,,,,,,,
Description:,Purification step is pending,,,,,,,,,,,,,,
Transitions,"purified",,,,,,,,,,,,,,
Permissions,Acquire,Owner,Manager,LabManager,LabClerk,Analyst,Sampler,Preserver,Verifier,RegulatoryInspector,Publisher,Reader,Editor,Contributor,Anonymous
,,,,,,,,,,,,,,,
[State],,,,,,,,,,,,,,,
Id:,to_be_quantified,,,,,,,,,,,,,,
Title:,To Be Quantified,,,,,,,,,,,,,,
Description:,To be quantitated,,,,,,,,,,,,,,
Transitions,"quantified",,,,,,,,,,,,,,
Permissions,Acquire,Owner,Manager,LabManager,LabClerk,Analyst,Sampler,Preserver,Verifier,RegulatoryInspector,Publisher,Reader,Editor,Contributor,Anonymous
,,,,,,,,,,,,,,,
[State],,,,,,,,,,,,,,,
Id:,to_be_amplified,,,,,,,,,,,,,,
Title:,To Be Amplified,,,,,,,,,,,,,,
Description:,Amplification step is pending,,,,,,,,,,,,,,
Transitions,"amplified",,,,,,,,,,,,,,
Permissions,Acquire,Owner,Manager,LabManager,LabClerk,Analyst,Sampler,Preserver,Verifier,RegulatoryInspector,Publisher,Reader,Editor,Contributor,Anonymous
,,,,,,,,,,,,,,,
[State],,,,,,,,,,,,,,,
Id:,done,,,,,,,,,,,,,,
Title:,Done,,,,,,,,,,,,,,
Description:,Done,,,,,,,,,,,,,,
Transitions,,,,,,,,,,,,,,,
Permissions,Acquire,Owner,Manager,LabManager,LabClerk,Analyst,Sampler,Preserver,Verifier,RegulatoryInspector,Publisher,Reader,Editor,Contributor,Anonymous
,,,,,,,,,,,,,,,
[Transition],,,,,,,,,,,,,,,
Id:,extracted,,,,,,,,,,,,,,
Title:,Extracted,,,,,,,,,,,,,,
Description:,"Extraction is complete",,,,,,,,,,,,,,
Target state:,to_be_purified,,,,,,,,,,,,,,
Trigger:,User,,,,,,,,,,,,,,
Guard permission:,Modify portal content,,,,,,,,,,,,,,
Guard expression:,"python:here.workflow_guard_purified() if hasattr(here, 'workflow_guard_purified') else True",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
[Transition],,,,,,,,,,,,,,,
Id:,purified,,,,,,,,,,,,,,
Title:,Purified,,,,,,,,,,,,,,
Description:,Purification is complete,,,,,,,,,,,,,,
Target state:,to_be_quantified,,,,,,,,,,,,,,
Trigger:,User,,,,,,,,,,,,,,
Guard permission:,Modify portal content,,,,,,,,,,,,,,
Guard expression:,"python:here.workflow_guard_purified() if hasattr(here, 'workflow_guard_purified') else True",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
[Transition],,,,,,,,,,,,,,,
Id:,quantified,,,,,,,,,,,,,,
Title:,Quantified,,,,,,,,,,,,,,
Description:,Quantification is complete,,,,,,,,,,,,,,
Target state:,to_be_amplified,,,,,,,,,,,,,,
Trigger:,User,,,,,,,,,,,,,,
Guard permission:,Modify portal content,,,,,,,,,,,,,,
Guard expression:,"python:here.workflow_guard_quantified() if hasattr(here, 'workflow_guard_quantified') else True",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
[Transition],,,,,,,,,,,,,,,
Id:,amplified,,,,,,,,,,,,,,
Title:,Amplified,,,,,,,,,,,,,,
Description:,Amplification is complete,,,,,,,,,,,,,,
Target state:,done,,,,,,,,,,,,,,
Trigger:,User,,,,,,,,,,,,,,
Guard permission:,Modify portal content,,,,,,,,,,,,,,
Guard expression:,"python:here.workflow_guard_amplified() if hasattr(here, 'workflow_guard_amplified') else True",,,,,,,,,,,,,,

