Sample ID,Sample Details,Test Name,Result,Units,Absorbance
1ppm NH3,,Ammonia2, 1.1797,mg N/L,0.440706
1ppm NH3,,Ammonia2, 1.2170,mg N/L,0.450651
2ppm NO3,,NO3,  1.283,ppm,0.221060
2ppm NO3,,NO3,  1.558,ppm,0.257816
2ppm NO2,,NO3,  1.658,ppm,0.271219
2ppm NO2,,NO3,  1.606,ppm,0.264207
1ppm Phos,,o-Phosphate,  1.124,mg P/L,0.413710
1ppm Phos,,o-Phosphate,  1.039,mg P/L,0.382955
80ppm Cl,,Chloride, 86.077,mg Cl/L,0.705416
80ppm Cl,,Chloride, 83.976,mg Cl/L,0.695590
W-B1,,Chloride,  5.950,mg Cl/L,0.214734
W-B1,,o-Phosphate,  0.098,mg P/L,0.041093
W-B1,,NO3,  0.619,ppm,0.132313
W-B1,,Ammonia2, 2.9899,mg N/L,0.923392
W-B2,,Chloride, 21.448,mg Cl/L,0.338903
W-B2,,o-Phosphate,  0.347,mg P/L,0.131410
W-B2,,NO3,  0.099,ppm,0.062887
W-B2,,Ammonia2, 0.8553,mg N/L,0.354196
W-B4,,Chloride,  7.802,mg Cl/L,0.231047
W-B4,,o-Phosphate,  0.314,mg P/L,0.119577
W-B4,,NO3,  5.818,ppm,0.827234
W-B4,,Ammonia2, 8.6739,mg N/L,2.438971
W-B5,,Chloride, 15.232,mg Cl/L,0.292140
W-B5,,o-Phosphate,  0.203,mg P/L,0.079152
W-B5,,NO3, -0.222,ppm,0.019890
W-B5,,Ammonia2, 2.3751,mg N/L,0.759448
V-B9,,Chloride,  3.299,mg Cl/L,0.190463
V-B9,,o-Phosphate,  0.390,mg P/L,0.147028
V-B9,,NO3, -0.247,ppm,0.016530
V-B9,,Ammonia2, 0.1510,mg N/L,0.166417
W-B10,,Chloride,  6.164,mg Cl/L,0.216645
W-B10,,o-Phosphate,  0.164,mg P/L,0.065097
W-B10,,NO3,  3.012,ppm,0.452221
W-B10,,Ammonia2, 0.3048,mg N/L,0.207422
W-B11,,Chloride, 21.978,mg Cl/L,0.342733
W-B11,,o-Phosphate,  0.172,mg P/L,0.067888
W-B11,,NO3,  1.654,ppm,0.270629
W-B11,,Ammonia2, 0.4020,mg N/L,0.233346
W-B12,,Chloride, 19.407,mg Cl/L,0.323924
W-B12,,o-Phosphate,  0.143,mg P/L,0.057562
W-B12,,NO3, 11.119,ppm,1.535782
W-B12,,Ammonia2, 0.4128,mg N/L,0.236219
W-B14,,Chloride,  9.674,mg Cl/L,0.247069
W-B14,,o-Phosphate,  0.192,mg P/L,0.075128
W-B14,,NO3, -0.099,ppm,0.036373
W-B14,,Ammonia2, 1.6051,mg N/L,0.554143
W-B16,,Chloride,  9.451,mg Cl/L,0.245179
W-B16,,o-Phosphate,  0.128,mg P/L,0.052102
W-B16,,NO3, -0.299,ppm,0.009687
W-B16,,Ammonia2, 3.7484,mg N/L,1.125628
V-B1,,Chloride,  5.035,mg Cl/L,0.206484
V-B1,,o-Phosphate,  0.234,mg P/L,0.090712
V-B1,,NO3, -0.270,ppm,0.013443
V-B1,,Ammonia2, 0.3092,mg N/L,0.208589
V-B2,,Chloride,  3.554,mg Cl/L,0.192848
V-B2,,o-Phosphate,  0.202,mg P/L,0.078918
V-B2,,NO3, -0.184,ppm,0.024947
V-B2,,Ammonia2, 0.4703,mg N/L,0.251543
V-B2 (New),,Chloride,  7.283,mg Cl/L,0.226529
V-B2 (New),,o-Phosphate,  0.298,mg P/L,0.113696
V-B2 (New),,NO3,  8.190,ppm,1.144346
V-B2 (New),,Ammonia2, 0.5425,mg N/L,0.270805
V-B3,,Chloride,  7.176,mg Cl/L,0.225589
V-B3,,o-Phosphate,  0.673,mg P/L,0.250099
V-B3,,NO3,  4.706,ppm,0.678571
V-B3,,Ammonia2, 0.2339,mg N/L,0.188519
V-B4,,Chloride,  3.567,mg Cl/L,0.192965
V-B4,,o-Phosphate,  0.174,mg P/L,0.068634
V-B4,,NO3,  2.751,ppm,0.417302
V-B4,,Ammonia2, 0.3800,mg N/L,0.227481
V-B5,,Chloride,  2.810,mg Cl/L,0.185857
V-B5,,o-Phosphate,  0.204,mg P/L,0.079596
V-B5,,NO3, -0.070,ppm,0.040265
V-B5,,Ammonia2, 0.3265,mg N/L,0.213206
V-B6,,Chloride,  3.705,mg Cl/L,0.194250
V-B6,,o-Phosphate,  0.181,mg P/L,0.071232
V-B6,,NO3,  0.408,ppm,0.104157
