Sample Id,Rep #,Product,ReducingSugar,pH,VolatileAcid,TotalAcid,MalicAcid,LacticAcid,Ethanol,Date,Time,Remark,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.79,3.58,0.27,4.04,0.03,1.29,14.23,2/11/2005,13:33 PM,,
QC-001,2,SFW_06_1,1.77,3.58,0.28,4.05,0.04,1.26,14.24,2/11/2005,13:34 PM,,
QC-001,Mean,SFW_06_1,1.78,3.58,0.28,4.05,0.04,1.27,14.24,2/11/2005,13:34 PM,,
QC-001,Sd,SFW_06_1,0.015,0.001,0.003,0.002,0.006,0.018,0.004,2/11/2005,13:34 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2.09,3.42,0.3,4.2,2.97,0.08,13.09,2/11/2005,13:35 PM,,
QC-001,2,SFW_06_1,2.25,3.42,0.31,4.21,3.01,0.09,13.09,2/11/2005,13:35 PM,,
QC-001,Mean,SFW_06_1,2.17,3.42,0.3,4.2,2.99,0.08,13.09,2/11/2005,13:35 PM,,
QC-001,Sd,SFW_06_1,0.108,0.002,0.007,0.006,0.028,0.01,0.003,2/11/2005,13:35 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.97,3.41,0.27,4.18,3.01,0.11,13.08,2/11/2005,13:36 PM,,
QC-001,2,SFW_06_1,1.98,3.41,0.27,4.18,2.98,0.14,13.07,2/11/2005,13:37 PM,,
QC-001,Mean,SFW_06_1,1.98,3.41,0.27,4.18,2.99,0.12,13.07,2/11/2005,13:37 PM,,
QC-001,Sd,SFW_06_1,0.007,0.001,0.002,0.003,0.022,0.022,0.009,2/11/2005,13:37 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.89,3.38,0.27,4.18,2.15,0.55,13.69,2/11/2005,13:38 PM,,
QC-001,2,SFW_06_1,1.03,3.38,0.27,4.19,2.16,0.54,13.68,2/11/2005,13:38 PM,,
QC-001,Mean,SFW_06_1,0.96,3.38,0.27,4.18,2.16,0.55,13.68,2/11/2005,13:38 PM,,
QC-001,Sd,SFW_06_1,0.102,0.001,0,0.004,0.01,0.006,0.005,2/11/2005,13:38 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.96,3.38,0.27,4.21,2.24,0.51,13.68,2/11/2005,13:39 PM,,
QC-001,2,SFW_06_1,0.98,3.38,0.26,4.21,2.22,0.51,13.69,2/11/2005,13:40 PM,,
QC-001,Mean,SFW_06_1,0.97,3.38,0.26,4.21,2.23,0.51,13.69,2/11/2005,13:40 PM,,
QC-001,Sd,SFW_06_1,0.021,0,0.005,0.002,0.018,0,0.006,2/11/2005,13:40 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.74,3.37,0.27,4.14,2.2,0.48,13.69,2/11/2005,13:40 PM,,
QC-001,2,SFW_06_1,0.92,3.37,0.27,4.13,2.17,0.46,13.69,2/11/2005,13:41 PM,,
QC-001,Mean,SFW_06_1,0.83,3.37,0.27,4.13,2.18,0.47,13.69,2/11/2005,13:41 PM,,
QC-001,Sd,SFW_06_1,0.128,0.004,0.004,0.007,0.019,0.012,0.004,2/11/2005,13:41 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.15,3.57,0.19,4.24,0.31,1.13,14.06,2/11/2005,13:42 PM,,
QC-001,2,SFW_06_1,1.33,3.57,0.19,4.24,0.32,1.12,14.06,2/11/2005,13:43 PM,,
QC-001,Mean,SFW_06_1,1.24,3.57,0.19,4.24,0.32,1.12,14.06,2/11/2005,13:43 PM,,
QC-001,Sd,SFW_06_1,0.122,0,0.001,0.001,0.01,0.008,0,2/11/2005,13:43 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.16,3.58,0.2,4.23,0.29,1.11,14.03,2/11/2005,13:43 PM,,
QC-001,2,SFW_06_1,1.18,3.57,0.19,4.23,0.35,1.1,14.03,2/11/2005,13:44 PM,,
QC-001,Mean,SFW_06_1,1.17,3.57,0.19,4.23,0.32,1.11,14.03,2/11/2005,13:44 PM,,
QC-001,Sd,SFW_06_1,0.007,0.003,0.005,0.001,0.045,0.009,0.005,2/11/2005,13:44 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.44,3.58,0.27,4.07,0.07,1.29,14.21,2/11/2005,13:45 PM,,
QC-001,2,SFW_06_1,1.59,3.58,0.25,4.06,0.06,1.26,14.23,2/11/2005,13:46 PM,,
QC-001,Mean,SFW_06_1,1.52,3.58,0.26,4.06,0.06,1.27,14.22,2/11/2005,13:46 PM,,
QC-001,Sd,SFW_06_1,0.101,0.003,0.011,0.006,0.011,0.028,0.009,2/11/2005,13:46 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2.1,3.42,0.29,4.21,2.96,0.11,13.05,2/11/2005,13:46 PM,,
QC-001,2,SFW_06_1,2.01,3.43,0.29,4.21,3.07,0.07,13.06,2/11/2005,13:47 PM,,
QC-001,Mean,SFW_06_1,2.06,3.42,0.29,4.21,3.02,0.09,13.06,2/11/2005,13:47 PM,,
QC-001,Sd,SFW_06_1,0.068,0.002,0,0,0.079,0.027,0.007,2/11/2005,13:47 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2.06,3.4,0.27,4.18,3.03,0.1,13.04,2/11/2005,13:48 PM,,
QC-001,2,SFW_06_1,2,3.4,0.27,4.19,3.01,0.1,13.04,2/11/2005,13:49 PM,,
QC-001,Mean,SFW_06_1,2.03,3.4,0.27,4.19,3.02,0.1,13.04,2/11/2005,13:49 PM,,
QC-001,Sd,SFW_06_1,0.039,0.002,0.002,0.005,0.019,0.004,0.002,2/11/2005,13:49 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.94,3.38,0.28,4.18,2.18,0.52,13.63,2/11/2005,13:49 PM,,
QC-001,2,SFW_06_1,0.91,3.38,0.28,4.19,2.14,0.51,13.63,2/11/2005,13:50 PM,,
QC-001,Mean,SFW_06_1,0.93,3.38,0.28,4.18,2.16,0.51,13.63,2/11/2005,13:50 PM,,
QC-001,Sd,SFW_06_1,0.025,0.002,0.002,0.007,0.026,0.008,0,2/11/2005,13:50 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.75,3.38,0.27,4.21,2.18,0.52,13.62,2/11/2005,13:51 PM,,
QC-001,2,SFW_06_1,0.87,3.38,0.27,4.21,2.22,0.52,13.64,2/11/2005,13:52 PM,,
QC-001,Mean,SFW_06_1,0.81,3.38,0.27,4.21,2.2,0.52,13.63,2/11/2005,13:52 PM,,
QC-001,Sd,SFW_06_1,0.082,0.002,0.001,0.001,0.025,0,0.011,2/11/2005,13:52 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.01,3.37,0.27,4.13,2.17,0.49,13.62,2/11/2005,13:52 PM,,
QC-001,2,SFW_06_1,0.81,3.38,0.27,4.13,2.19,0.46,13.63,2/11/2005,13:53 PM,,
QC-001,Mean,SFW_06_1,0.91,3.37,0.27,4.13,2.18,0.48,13.63,2/11/2005,13:53 PM,,
QC-001,Sd,SFW_06_1,0.14,0.004,0,0.003,0.017,0.024,0.006,2/11/2005,13:53 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.11,3.57,0.2,4.26,0.27,1.12,14.02,2/11/2005,14:11 PM,,
QC-001,2,SFW_06_1,1.54,3.57,0.2,4.26,0.25,1.13,14.04,2/11/2005,14:12 PM,,
QC-001,Mean,SFW_06_1,1.33,3.57,0.2,4.26,0.26,1.12,14.03,2/11/2005,14:12 PM,,
QC-001,Sd,SFW_06_1,0.301,0.001,0.004,0,0.016,0.005,0.011,2/11/2005,14:12 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.34,3.56,0.2,4.25,0.26,1.16,14.01,2/11/2005,14:12 PM,,
QC-001,2,SFW_06_1,1.39,3.57,0.19,4.24,0.29,1.18,14.02,2/11/2005,14:13 PM,,
QC-001,Mean,SFW_06_1,1.37,3.57,0.19,4.25,0.28,1.17,14.01,2/11/2005,14:13 PM,,
QC-001,Sd,SFW_06_1,0.035,0.001,0.004,0.006,0.019,0.012,0.008,2/11/2005,14:13 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.63,3.57,0.27,4.09,0.07,1.34,14.1,2/11/2005,14:14 PM,,
QC-001,2,SFW_06_1,1.64,3.57,0.27,4.1,0.01,1.31,14.1,2/11/2005,14:15 PM,,
QC-001,Mean,SFW_06_1,1.64,3.57,0.27,4.09,0.04,1.32,14.1,2/11/2005,14:15 PM,,
QC-001,Sd,SFW_06_1,0.008,0.001,0.005,0.007,0.046,0.018,0.001,2/11/2005,14:15 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2.35,3.42,0.29,4.24,3,0.09,12.97,2/11/2005,14:15 PM,,
QC-001,2,SFW_06_1,2.32,3.41,0.3,4.25,2.98,0.14,12.98,2/11/2005,14:16 PM,,
QC-001,Mean,SFW_06_1,2.34,3.41,0.3,4.24,2.99,0.11,12.98,2/11/2005,14:16 PM,,
QC-001,Sd,SFW_06_1,0.019,0.007,0.003,0.008,0.017,0.03,0.003,2/11/2005,14:16 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2.28,3.4,0.28,4.23,2.98,0.14,12.94,2/11/2005,14:17 PM,,
QC-001,2,SFW_06_1,2.23,3.39,0.28,4.22,2.96,0.12,12.93,2/11/2005,14:18 PM,,
QC-001,Mean,SFW_06_1,2.26,3.39,0.28,4.22,2.97,0.13,12.93,2/11/2005,14:18 PM,,
QC-001,Sd,SFW_06_1,0.036,0.006,0,0.004,0.013,0.016,0.003,2/11/2005,14:18 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1,3.37,0.27,4.21,2.15,0.59,13.52,2/11/2005,14:18 PM,,
QC-001,2,SFW_06_1,1.02,3.37,0.27,4.22,2.16,0.56,13.54,2/11/2005,14:19 PM,,
QC-001,Mean,SFW_06_1,1.01,3.37,0.27,4.22,2.15,0.57,13.53,2/11/2005,14:19 PM,,
QC-001,Sd,SFW_06_1,0.016,0.002,0.006,0.003,0.012,0.021,0.011,2/11/2005,14:19 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.16,3.37,0.27,4.25,2.17,0.55,13.55,2/11/2005,14:20 PM,,
QC-001,2,SFW_06_1,1.18,3.36,0.27,4.24,2.2,0.46,13.54,2/11/2005,14:21 PM,,
QC-001,Mean,SFW_06_1,1.17,3.37,0.27,4.24,2.18,0.51,13.55,2/11/2005,14:21 PM,,
QC-001,Sd,SFW_06_1,0.015,0.003,0.003,0.007,0.023,0.059,0.003,2/11/2005,14:21 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.03,3.36,0.27,4.16,2.14,0.52,13.57,2/11/2005,14:21 PM,,
QC-001,2,SFW_06_1,0.98,3.36,0.27,4.17,2.13,0.49,13.56,2/11/2005,14:22 PM,,
QC-001,Mean,SFW_06_1,1,3.36,0.27,4.17,2.14,0.51,13.56,2/11/2005,14:22 PM,,
QC-001,Sd,SFW_06_1,0.034,0.002,0.001,0.008,0.013,0.027,0.005,2/11/2005,14:22 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.58,3.56,0.2,4.27,0.22,1.11,14.08,2/11/2005,14:23 PM,,
QC-001,2,SFW_06_1,1.41,3.56,0.2,4.26,0.29,1.14,14.1,2/11/2005,14:24 PM,,
QC-001,Mean,SFW_06_1,1.5,3.56,0.2,4.27,0.26,1.13,14.09,2/11/2005,14:24 PM,,
QC-001,Sd,SFW_06_1,0.122,0.003,0.001,0.005,0.047,0.016,0.018,2/11/2005,14:24 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.44,3.56,0.19,4.25,0.27,1.12,14.07,2/11/2005,14:24 PM,,
QC-001,2,SFW_06_1,1.46,3.56,0.2,4.24,0.26,1.18,14.07,2/11/2005,14:25 PM,,
QC-001,Mean,SFW_06_1,1.45,3.56,0.19,4.24,0.27,1.15,14.07,2/11/2005,14:25 PM,,
QC-001,Sd,SFW_06_1,0.016,0,0.007,0.004,0.006,0.042,0.002,2/11/2005,14:25 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.8,3.57,0.28,4.1,0.06,1.27,14.2,2/11/2005,14:26 PM,,
QC-001,2,SFW_06_1,1.78,3.56,0.27,4.1,0.05,1.28,14.22,2/11/2005,14:26 PM,,
QC-001,Mean,SFW_06_1,1.79,3.57,0.27,4.1,0.06,1.28,14.21,2/11/2005,14:26 PM,,
QC-001,Sd,SFW_06_1,0.017,0.008,0.004,0.003,0.007,0.006,0.012,2/11/2005,14:26 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2.32,3.41,0.3,4.25,3.01,0.12,13.07,2/11/2005,14:27 PM,,
QC-001,2,SFW_06_1,2.26,3.41,0.3,4.23,3.03,0.12,13.07,2/11/2005,14:28 PM,,
QC-001,Mean,SFW_06_1,2.29,3.41,0.3,4.24,3.02,0.12,13.07,2/11/2005,14:28 PM,,
QC-001,Sd,SFW_06_1,0.042,0.003,0.004,0.01,0.014,0,0.004,2/11/2005,14:28 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2,3.4,0.28,4.22,2.93,0.13,13.04,2/11/2005,14:29 PM,,
QC-001,2,SFW_06_1,2.11,3.39,0.28,4.21,2.94,0.13,13.05,2/11/2005,14:29 PM,,
QC-001,Mean,SFW_06_1,2.06,3.4,0.28,4.22,2.94,0.13,13.05,2/11/2005,14:29 PM,,
QC-001,Sd,SFW_06_1,0.08,0.006,0.005,0.005,0.008,0.002,0.011,2/11/2005,14:29 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.99,3.37,0.28,4.21,2.13,0.55,13.65,2/11/2005,14:30 PM,,
QC-001,2,SFW_06_1,1.14,3.37,0.28,4.21,2.13,0.53,13.65,2/11/2005,14:31 PM,,
QC-001,Mean,SFW_06_1,1.06,3.37,0.28,4.21,2.13,0.54,13.65,2/11/2005,14:31 PM,,
