Sample Id,Rep #,Product,ReducingSugar,pH,VolatileAcid,TotalAcid,MalicAcid,LacticAcid,Ethanol,Date,Time,Remark,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.79,3.58,0.27,4.04,0.03,1.29,14.23,2/11/2005,13:33 PM,,
QC-001,2,SFW_06_1,1.77,3.58,0.28,4.05,0.04,1.26,14.24,2/11/2005,13:34 PM,,
QC-001,Mean,SFW_06_1,1.78,3.58,0.28,4.05,0.04,1.27,14.24,2/11/2005,13:34 PM,,
QC-001,Sd,SFW_06_1,0.015,0.001,0.003,0.002,0.006,0.018,0.004,2/11/2005,13:34 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,2.09,3.42,0.3,4.2,2.97,0.08,13.09,2/11/2005,13:35 PM,,
QC-001,2,SFW_06_1,2.25,3.42,0.31,4.21,3.01,0.09,13.09,2/11/2005,13:35 PM,,
QC-001,Mean,SFW_06_1,2.17,3.42,0.3,4.2,2.99,0.08,13.09,2/11/2005,13:35 PM,,
QC-001,Sd,SFW_06_1,0.108,0.002,0.007,0.006,0.028,0.01,0.003,2/11/2005,13:35 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,1.97,3.41,0.27,4.18,3.01,0.11,13.08,2/11/2005,13:36 PM,,
QC-001,2,SFW_06_1,1.98,3.41,0.27,4.18,2.98,0.14,13.07,2/11/2005,13:37 PM,,
QC-001,Mean,SFW_06_1,1.98,3.41,0.27,4.18,2.99,0.12,13.07,2/11/2005,13:37 PM,,
QC-001,Sd,SFW_06_1,0.007,0.001,0.002,0.003,0.022,0.022,0.009,2/11/2005,13:37 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.89,3.38,0.27,4.18,2.15,0.55,13.69,2/11/2005,13:38 PM,,
QC-001,2,SFW_06_1,1.03,3.38,0.27,4.19,2.16,0.54,13.68,2/11/2005,13:38 PM,,
QC-001,Mean,SFW_06_1,0.96,3.38,0.27,4.18,2.16,0.55,13.68,2/11/2005,13:38 PM,,
QC-001,Sd,SFW_06_1,0.102,0.001,0,0.004,0.01,0.006,0.005,2/11/2005,13:38 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.96,3.38,0.27,4.21,2.24,0.51,13.68,2/11/2005,13:39 PM,,
QC-001,2,SFW_06_1,0.98,3.38,0.26,4.21,2.22,0.51,13.69,2/11/2005,13:40 PM,,
QC-001,Mean,SFW_06_1,0.97,3.38,0.26,4.21,2.23,0.51,13.69,2/11/2005,13:40 PM,,
QC-001,Sd,SFW_06_1,0.021,0,0.005,0.002,0.018,0,0.006,2/11/2005,13:40 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,0.74,3.37,0.27,4.14,2.2,0.48,13.69,2/11/2005,13:40 PM,,
QC-001,2,SFW_06_1,0.92,3.37,0.27,4.13,2.17,0.46,13.69,2/11/2005,13:41 PM,,
QC-001,Mean,SFW_06_1,0.83,3.37,0.27,4.13,2.18,0.47,13.69,2/11/2005,13:41 PM,,
QC-001,Sd,SFW_06_1,0.128,0.004,0.004,0.007,0.019,0.012,0.004,2/11/2005,13:41 PM,,
